Player Names,Goals,Average Goals
Juanmi Callejon,11,0.5789473684210527
Antoine Griezmann,16,0.4444444444444444
Luis Suarez,28,0.8235294117647058
Ruben Castro,13,0.40625
Kevin Gameiro,13,0.6190476190476191
Cristiano Ronaldo,25,0.8620689655172413
Karim Benzema,11,0.4782608695652174
Neymar ,13,0.43333333333333335
Iago Aspas,19,0.76
Sergi Enrich,11,0.3548387096774194
Aduriz ,16,0.5925925925925926
Sandro Ramlrez,14,0.5
Lionel Messi,37,1.15625
Gerard Moreno,13,0.35135135135135137
Morata,15,1.0714285714285714
Wissam Ben Yedder,11,0.55
Willian Jose,12,0.4444444444444444
Andone ,12,0.375
Cedric Bakambu,10,0.5882352941176471
Isco,10,0.5555555555555556
Mohamed Salah,15,0.5172413793103449
Gregoire Defrel,12,0.5217391304347826
Ciro Immobile,22,0.6285714285714286
Nikola Kalinic,15,0.5769230769230769
Dries Mertens,28,1.0
Alejandro Gomez,16,0.43243243243243246
Jose CallejOn,14,0.3783783783783784
Iago Falque,12,0.3870967741935484
Giovanni Simeone,12,0.41379310344827586
Mauro Icardi,24,0.7058823529411765
Diego Falcinelli,13,0.37142857142857144
Cyril Thereau,12,0.3870967741935484
Edin Dzeko,29,0.8787878787878788
Lorenzo Insigne,18,0.5142857142857142
Fabio Quagliarella,12,0.34285714285714286
Borriello ,16,0.5333333333333333
Carlos Bacca,13,0.5
Gonzalo Higuain,24,0.75
Keita Balde,16,0.7619047619047619
Andrea Belotti,26,0.7647058823529411
Fin Bartels,8,0.34782608695652173
Lars Stindl,11,0.3793103448275862
Serge Gnabry,11,0.4782608695652174
Wagner ,11,0.36666666666666664
Andrej Kramaric,15,0.5357142857142857
Florian Niederlechner,11,0.3793103448275862
Robert Lewandowski,30,0.967741935483871
Emil Forsberg,8,0.2962962962962963
Timo Werner,21,0.75
Nils Petersen,10,1.4285714285714286
Vedad Ibisevic,12,0.375
Mario Gomez,16,0.5
Maximilian Philipp,9,0.391304347826087
Adam Szalai,8,1.1428571428571428
Pierre-Emerick Aubameyang,31,1.0
Guido Burgstaller,9,0.5294117647058824
Max Kruse,15,0.6521739130434783
Chicharito ,11,0.55
Anthony Modeste,25,0.7352941176470589
Arjen Robben,13,0.6190476190476191
Alexis Sanchez,24,0.6666666666666666
Romelu Lukaku,25,0.6944444444444444
Harry Kane,29,1.0
Jamie Vardy,13,0.3939393939393939
Christian Benteke,15,0.4166666666666667
Pedro None,10,0.38461538461538464
Eden Hazard,16,0.4444444444444444
Roberto Firmino,11,0.3235294117647059
Sadio Mane,13,0.5
Philippe Coutinho,13,0.4642857142857143
Diego Costa,20,0.5714285714285714
Dele Alli,18,0.5142857142857142
Sergio Aguero,21,0.84
Jermain Defoe,15,0.40540540540540543
Fernando Llorente,15,0.5357142857142857
Michail Antonio,11,0.3793103448275862
Zlatan Ibrahimovic,17,0.6296296296296297
Olivier Giroud,12,1.0909090909090908
Son Heung-Min,14,0.6086956521739131
Joshua King,16,0.5161290322580645
Diego Souza,14,0.4117647058823529
Pablo ,9,0.3
Robinho ,12,0.46153846153846156
Kempes ,9,0.47368421052631576
Gabriel Jesus,12,0.46153846153846156
Bruno Rangel ,10,0.5263157894736842
Rogerio ,9,0.4090909090909091
Vitor Bueno,10,0.3125
Marinho ,12,0.4444444444444444
Grafite ,13,0.4482758620689655
Andres Chavez,9,0.47368421052631576
Cicero Semedo,9,0.2571428571428571
Sassa,12,0.9230769230769231
Giorgian de Arrascaeta,9,0.3
Keno ,10,0.3125
Fred ,14,0.42424242424242425
Kleber Gladiador,9,0.391304347826087
Pottker ,14,0.7368421052631579
Jonathan Copete,10,0.45454545454545453
Ricardo Oliveira,11,0.55
Angel Rodriguez,13,0.5
Antoine Griezmann,19,0.6333333333333333
Iago Aspas,22,0.6666666666666666
Gareth Bale,16,0.8
Rodrigo None,16,0.5161290322580645
Luis Suarez,25,0.78125
Sergio Leon,11,0.4782608695652174
Lionel Messi,33,1.03125
Maxi Gomez,18,0.5142857142857142
Mikel Oyarzabal,12,0.3870967741935484
Willian Josa,15,0.46875
Simone Zaza,13,0.5652173913043478
Cristiano Ronaldo,26,0.9629629629629629
Portu ,11,0.3142857142857143
Gerard Moreno,16,0.42105263157894735
Cristhian Stuani,21,0.65625
Carlos Bacca,15,0.5
Santi Mina,12,0.7058823529411765
Morales ,10,0.2857142857142857
Munir ,10,0.35714285714285715
Jose Callejon,10,0.2631578947368421
Sergej Milinkovic-Savic,12,0.36363636363636365
Duvan Zapata,11,0.4583333333333333
Paulo Dybala,22,0.8461538461538461
Gonzalo Higuain,16,0.5
Mirco Antenucci,11,0.39285714285714285
Fabio Quagliarella,19,0.5757575757575758
Luis Alberto,11,0.34375
Roberto Inglese,12,0.36363636363636365
Andrea Belotti,10,0.3448275862068966
Josip Ilicic,11,0.5238095238095238
Giovanni Simeone,14,0.3888888888888889
Ivan Perisic,11,0.2972972972972973
Edin Dzeko,16,0.48484848484848486
Leonardo Pavoletti,11,0.3548387096774194
Ciro Immobile,29,0.8787878787878788
Dries Mertens,18,0.5142857142857142
Mauro Icardi,29,0.8529411764705882
Kevin Lasagna,12,0.46153846153846156
Iago Falque,12,0.35294117647058826
Robert Lewandowski,29,1.2083333333333333
Niclas Fullkrug,14,0.5384615384615384
Guido Burgstaller,11,0.4583333333333333
Salomon Kalou,12,0.4444444444444444
Thorgan Hazard,10,0.30303030303030304
Jean-Kevin Augustin,9,0.6428571428571429
Serge Gnabry,10,0.5
Andrej Kramaric,13,0.5909090909090909
Nils Petersen,15,0.625
Sandro Wagner ,12,0.6666666666666666
Timo Werner,13,0.4642857142857143
Leon Bailey,9,0.36
Daniel Didavi,9,0.34615384615384615
Alfred Finnbogason,12,0.5454545454545454
Davie Selke,10,0.5263157894736842
Mark Uth,14,0.5833333333333334
Michael Gregoritsch,13,0.43333333333333335
Julian Brandt,9,0.34615384615384615
Kevin Volland,14,0.4666666666666667
Pierre-Emerick Aubameyang,13,0.8125
Roger ,11,0.5789473684210527
Arthur Caike,8,0.23529411764705882
Everton ,8,0.5714285714285714
Hernanes ,9,0.47368421052631576
Luiz Fernando,9,0.42857142857142855
Wellington Paulista,9,0.3
Fred ,12,0.4444444444444444
Santiago Trellez,10,0.43478260869565216
Jo,18,0.5294117647058824
Thiago Neves,9,0.3
Bruno Henrique,8,0.2857142857142857
Dudu ,10,0.43478260869565216
Diego ,10,0.4166666666666667
Diego Souza,11,0.4230769230769231
Lucca ,13,0.35135135135135137
Henrique Dourado,19,0.59375
Andre,16,0.45714285714285713
Edigar Junio ,12,0.5714285714285714
Junior  Dutra,9,0.3333333333333333
Luiz Fernando,9,0.42857142857142855
Karim Benzema,21,0.6
Maxi Gomez,13,0.3939393939393939
Iago Aspas,20,0.7692307692307693
Jaime Mata,14,0.5185185185185185
Inaki Williams,12,0.3333333333333333
Cristhian Stuani,19,0.6333333333333333
Chimy Avila,10,0.5
Raul de Tomas,14,0.4375
Luis Suarez,21,0.6774193548387096
Roger ,13,0.5652173913043478
Willian Jose,12,0.42857142857142855
Pablo Sarabia,13,0.43333333333333335
Mikel Oyarzabal,13,0.3611111111111111
